country,period,log_rel_flu_level,cov_daily_cases,workplace_presence_reduction,idvi,age,T,RH,latitude,longitude,nb_days_school_closure,nb_days_workplace_closure,nb_days_public_event_restrictions,nb_days_gathering_restrictions,nb_days_public_transport_restrictions,nb_days_stay_at_home_requirements,nb_days_facial_covering_requirements,nb_days_elderly_shielding,nb_days_international_travel_restrictions,nb_days_testing_implementation,nb_days_contact_tracing_implementation
Canada,winter2021,-3.629409204304384,128.87902197802197,23.46043165467626,0.9734,41.4,270.8920578467331,73.7094039143001,46.34300260018114,-87.86346816554885,91.0,89.0,0.0,0.0,0.0,26.0,0.0,91.0,91.0,0.0,0.0
Chile,autumn2020,-2.315580171597777,78.45851648351649,20.47058823529412,0.801129,35.4,291.4594577181463,64.32068670040195,-33.289141626452405,-71.03224167585932,91.0,91.0,40.0,0.0,0.0,0.0,6.0,91.0,70.0,27.0,91.0
Chile,spring2020,-0.8804085682332937,119.24042857142857,32.46376811594203,0.801129,35.4,292.35975716133834,62.33027039998726,-33.289141626452405,-71.03224167585932,91.0,91.0,82.0,51.0,0.0,51.0,0.0,91.0,89.0,0.0,77.0
Chile,spring2021,-2.87961718732563,334.81365934065934,13.66153846153846,0.801129,35.4,291.6462196915252,65.96209416006438,-33.289141626452405,-71.03224167585932,69.0,91.0,42.0,0.0,0.0,9.0,49.0,91.0,91.0,91.0,91.0
Chile,summer2020,-2.6775111010718207,129.36726373626374,30.87037037037037,0.801129,35.4,287.3841176531206,68.59574927631287,-33.289141626452405,-71.03224167585932,91.0,91.0,56.0,0.0,14.0,0.0,0.0,91.0,91.0,0.0,91.0
Chile,summer2021,-3.293593827791521,95.862032967033,-1.421875,0.801129,35.4,288.15964041298884,69.31332157456863,-33.289141626452405,-71.03224167585932,36.0,64.0,0.0,0.0,0.0,0.0,91.0,91.0,42.0,84.0,91.0
Colombia,autumn2020,-2.526038969663602,152.07416483516482,10.213333333333331,0.58385,32.2,299.2734615578465,82.2178816366932,5.881549778328987,-74.75306039336384,73.0,0.0,35.0,91.0,91.0,91.0,0.0,8.0,91.0,0.0,56.0
Colombia,spring2020,-0.4621271748738502,10.911714285714286,44.59192825112108,0.58385,32.2,299.48654313700115,82.94745057304529,5.881549778328987,-74.75306039336384,91.0,82.0,90.0,90.0,82.0,82.0,69.0,87.0,84.0,0.0,73.0
Colombia,spring2021,-1.8874196158886625,310.8296483516483,4.780487804878049,0.58385,32.2,299.2138650269489,85.25186429463845,5.881549778328987,-74.75306039336384,42.0,86.0,8.0,70.0,34.0,0.0,70.0,0.0,49.0,0.0,91.0
Colombia,summer2020,-1.9304011492770925,142.62649450549452,22.346666666666668,0.58385,32.2,299.3565791980578,82.15778750237281,5.881549778328987,-74.75306039336384,91.0,78.0,91.0,91.0,91.0,42.0,78.0,91.0,91.0,0.0,78.0
Colombia,summer2021,-1.5570730282586744,252.29935164835163,-9.015686274509804,0.58385,32.2,299.19053639715514,82.82165148809047,5.881549778328987,-74.75306039336384,26.0,0.0,42.0,91.0,91.0,0.0,91.0,0.0,0.0,0.0,91.0
Colombia,winter2021,-1.360848084797024,188.0672307692308,9.308724832214764,0.58385,32.2,299.1722819669765,79.67982609133198,5.881549778328987,-74.75306039336384,0.0,67.0,0.0,24.0,24.0,24.0,0.0,18.0,91.0,0.0,91.0
Costa Rica,autumn2020,-2.708031426319981,204.1958901098901,28.0,0.73696,33.6,300.09712662296016,93.52570230872593,9.95491745690512,-84.11010797166499,91.0,91.0,91.0,91.0,0.0,91.0,42.0,91.0,23.0,0.0,0.0
Costa Rica,spring2020,-0.8206401468787135,3.609527472527472,34.0,0.73696,33.6,300.71589875402327,86.03116195456177,9.95491745690512,-84.11010797166499,91.0,91.0,91.0,0.0,23.0,75.0,0.0,0.0,90.0,0.0,91.0
Costa Rica,spring2021,-2.02804808320246,279.7090329670329,18.0,0.73696,33.6,300.1583023992009,88.2366018977427,9.95491745690512,-84.11010797166499,21.0,91.0,91.0,91.0,35.0,91.0,91.0,91.0,0.0,26.0,0.0
Costa Rica,summer2020,-2.1893435388406437,114.91193406593408,34.0,0.73696,33.6,300.4204077195618,91.94916554992112,9.95491745690512,-84.11010797166499,91.0,82.0,91.0,44.0,0.0,91.0,0.0,24.0,86.0,0.0,24.0
Costa Rica,summer2021,-2.407724371640793,320.50205494505497,13.0,0.73696,33.6,300.2343177732678,92.78371424016429,9.95491745690512,-84.11010797166499,91.0,91.0,91.0,82.0,0.0,91.0,91.0,91.0,0.0,91.0,0.0
