"minbucket","cp","mean_err","sd_err","nsplits"
8,0.005,0.609378176459734,0.0945600485640559,13
8,0.006,0.609519471299619,0.0947508952191189,12
8,0.007,0.606912589495026,0.0949949374974034,12
8,0.008,0.60647350667197,0.0959056448819834,11
8,0.009,0.60153587008986,0.0942132952181037,10
8,0.01,0.602282648446014,0.0936613875358684,10
8,0.011,0.604520470651687,0.0921901901271915,9
8,0.012,0.60070082959051,0.0936540595143962,9
8,0.013,0.602464463255206,0.0906769372714336,8
8,0.014,0.599634658520863,0.0937482028090753,8
9,0,0.610567205007043,0.0949440159941246,13
9,0.001,0.611286763440554,0.0970124800854166,13
9,0.002,0.612901635921968,0.0963260014342245,13
9,0.003,0.612930947629404,0.0972810374995525,13
9,0.004,0.609011646870088,0.0949200032366807,12
9,0.005,0.608537149886257,0.0968007056288339,12
9,0.006,0.608392165713946,0.0964293236264283,11
9,0.007,0.602886997640321,0.0920616345599997,11
9,0.008,0.602929003372327,0.0933858091157971,10
9,0.009,0.603717240223296,0.0931071285447834,10
9,0.01,0.604929795788327,0.0931601211846375,9
9,0.011,0.603296986154374,0.0918681805035041,9
9,0.012,0.605248330973216,0.0936311327487735,8
9,0.013,0.604184483683488,0.0937701908300396,8
9,0.014,0.60658445635543,0.0941469387598731,8
10,0,0.608644464110156,0.0926182431693942,12
10,0.001,0.610901425792734,0.0939225592715709,12
10,0.002,0.61247942951934,0.0930239414440295,12
10,0.003,0.611139639093065,0.0914569991421241,12
10,0.004,0.612817402174833,0.0931283111589632,11
10,0.005,0.610160237455591,0.0947716023818815,11
10,0.006,0.609521671017917,0.0943321827939838,10
10,0.007,0.605655854933865,0.0918272548019937,10
10,0.008,0.605192509996469,0.0936471403999486,9
10,0.009,0.606435170020957,0.0926263934049197,9
10,0.01,0.604729329685858,0.0932827802739171,8
10,0.011,0.609842930167694,0.0952847225351591,8
10,0.012,0.608432080143226,0.0922629500571983,8
10,0.013,0.606538524780167,0.0922720832873155,7
10,0.014,0.608882738017544,0.0929867890039603,7
11,0,0.617579140036715,0.0924865544238367,11
11,0.001,0.612184764858258,0.0934205205583009,11
11,0.002,0.613989286120693,0.0940285038402455,11
11,0.003,0.612255543237955,0.0932144463686878,10
11,0.004,0.611229913923146,0.0930517801894937,10
11,0.005,0.609139346377494,0.0932595021952028,10
11,0.006,0.609425407211925,0.0894663303993797,9
11,0.007,0.611979408719191,0.0931027725606705,9
11,0.008,0.608489619722489,0.0906222746121744,9
11,0.009,0.608812003984421,0.0919381093750103,8
11,0.01,0.610363360107301,0.0930000406034966,8
11,0.011,0.611878351038598,0.0905810691876259,8
11,0.012,0.612239298287631,0.0931868014214586,7
11,0.013,0.611244430675849,0.0911296403733218,7
11,0.014,0.611714506358391,0.0906339762678199,7
12,0,0.614448216739882,0.0929863590083653,10
12,0.001,0.613599536970113,0.0912823587724294,10
12,0.002,0.614477918926166,0.0905424311588106,10
12,0.003,0.614238800404501,0.0912845916735624,10
12,0.004,0.613167315621768,0.0926815248071343,9
12,0.005,0.609485044653789,0.0908234661694049,9
12,0.006,0.612575435778314,0.0915193815211735,9
12,0.007,0.611370325358862,0.0907177053590789,8
12,0.008,0.612167011585308,0.0901000058475393,8
